index,StateFull,StateAbbrev,GovernorNumber,GovernorName,TookOffice,LeftOffice,PartyAffiliation,PartyAbbrev
32,Alabama,AL,33,William James Samford,"December 1, 2021","June 11, 1901",Democratic,D
59,Alabama,AL,60,Robert Julian Bentley,"January 17, 2011","April 10, 2017",Republican,R
60,Alabama,AL,61,Kay Ellen Ivey,"April 10, 2017","January 16, 2023",Republican,R
73,Alaska,AK,13,William Martin Walker,"December 1, 2014","December 3, 2018",Independent,I
74,Alaska,AK,14,Michael James Dunleavy,"December 3, 2018","December 5, 2022",Republican,R
101,Arizona,AZ,27,Doug Anthony Ducey Jr.,"January 5, 2015","January 2, 2023",Republican,R
158,Arkansas,AR,57,William Asa Hutchinson II,"January 13, 2015","January 10, 2023",Republican,R
197,California,CA,39,Edmund Gerland Brown Jr.,"January 3, 2011","January 7, 2019",Democratic,D
198,California,CA,40,Gavin Newsom,"January 7, 2019","January 2, 2023",Democratic,D
240,Colorado,CO,42,John Wright Hickenlooper Jr.,"January 11, 2011","January 8, 2019",Democratic,D
241,Colorado,CO,43,Jared Schutz Polis,"January 8, 2019","January 10, 2023",Democratic,D
314,Connecticut,CT,73,Dannel Patrick Malloy,"January 5, 2011","January 9, 2019",Democratic,D
315,Connecticut,CT,74,Ned Lamont,"January 9, 2019","January 4, 2023",Democratic,D
380,Delaware,DE,65,Jack Alan Markell,"January 20, 2009","January 17, 2017",Democratic,D
381,Delaware,DE,66,John Charles Carney Jr.,"January 17, 2017","January 20, 2025",Democratic,D
426,Florida,FL,45,Richard Lynn Scott,"January 4, 2011","January 7, 2019",Republican,R
427,Florida,FL,46,Ronald Dion DeSantis,"January 7, 2019","January 2, 2023",Republican,R
516,Georgia,GA,89,John Nathan Deal,"January 10, 2011","January 14, 2019",Republican,R
517,Georgia,GA,90,Brian Porter Kemp,"January 14, 2019","January 9, 2023",Republican,R
525,Hawaii,HI,8,David Yutaka Ige,"December 1, 2014","December 5, 2022",Democratic,D
557,Idaho,ID,32,Clement Leroy Otter,"January 1, 2007","January 7, 2019",Republican,R
558,Idaho,ID,33,Bradley Jay Little,"January 7, 2019","January 2, 2023",Republican,R
602,Illinois,IL,44,Bruce Vincent Rauner,"January 12, 2015","January 14, 2019",Republican,R
603,Illinois,IL,45,Jay Robert Pritzker,"January 14, 2019","January 9, 2023",Democratic,D
653,Indiana,IN,50,Michael Richard Pence,"January 14, 2013","January 9, 2017",Republican,R
654,Indiana,IN,51,Eric Joseph Holcomb,"January 9, 2017","January 9, 2025",Republican,R
696,Iowa,IA,42,Terry Edward Branstad,"January 14, 2011","May 24, 2017",Republican,R
697,Iowa,IA,43,Kimberly Kay Reynolds,"May 24, 2017","January 10, 2023",Republican,R
743,Kansas,KS,46,Samuel Dale Brownback,"January 10, 2011","January 31, 2018",Republican,R
744,Kansas,KS,47,Jeffrey William Colyer,"January 31, 2018","January 14, 2019",Republican,R
745,Kansas,KS,48,Laura J. Kelly,"January 14, 2019","January 9, 2023",Democratic,D
807,Kentucky,KY,62,Matthew Griswold Bevin,"December 8, 2015","December 10, 2019",Republican,R
808,Kentucky,KY,63,Andrew Graham Beshear,"December 10, 2019","December 12, 2023",Democratic,D
870,Louisiana,LA,62,Piyush Jindal,"January 14, 2008","January 11, 2016",Republican,R
871,Louisiana,LA,63,John Bel Edwards,"January 11, 2016","January 8, 2024",Democratic,D
945,Maine,ME,74,Paul Richard LePage,"January 5, 2011","January 2, 2019",Republican,R
946,Maine,ME,75,Janet Trafton Mills,"January 2, 2019","January 2, 2023",Democratic,D
1013,Maryland,MD,67,Lawrence Joseph Hogan Jr.,"January 21, 2015","January 21, 2023",Republican,R
1092,Massachusetts,MA,79,Charles Duane Baker Jr.,"January 8, 2015","January 8, 2023",Republican,R
1140,Michigan,MI,48,Richard Dale Snyder,"January 1, 2011","January 1, 2019",Republican,R
1141,Michigan,MI,49,Gretchen Esther Whitmer,"January 1, 2019","January 1, 2023",Democratic,D
1181,Minnesota,MN,40,Mark Brandt Dayton,"January 3, 2011","January 7, 2019",Democratic,D
1182,Minnesota,MN,41,Timothy James Walz,"January 7, 2019","January 7, 2023",Democratic,D
1245,Mississippi,MS,63,Dewey Philip Bryant,"January 10, 2012","January 14, 2020",Republican,R
1246,Mississippi,MS,64,Jonathan Tate Reeves,"January 14, 2020","January 14, 2024",Republican,R
1301,Missouri,MO,55,Jeremiah Wilson Nixon,"January 12, 2009","January 9, 2017",Democratic,D
1302,Missouri,MO,56,Erich Robert Greitens,"January 9, 2017","June 1, 2018",Republican,R
1303,Missouri,MO,57,Michael Lynn Parsons,"June 1, 2018","January 9, 2024",Republican,R
1327,Montana,MT,24,Stephen Clark Bullock,"January 7, 2013","January 4, 2021",Democratic,D
1328,Montana,MT,25,Gregory Richard Gianforte,"January 4, 2021","January 4, 2025",Republican,R
1369,Nebraska,NE,41,John Peter Ricketts,"January 8, 2015","January 12, 2023",Republican,R
1398,Nevada,NV,29,Brian Edward Sandoval,"January 3, 2011","January 7, 2019",Republican,R
1399,Nevada,NV,30,Stephen F. Sisolak,"January 7, 2019","January 7, 2023",Democratic,D
1487,New Hampshire,NH,88,Margaret Coldwell Hassan,"January 3, 2013","January 2, 2017",Democratic,D
1488,New Hampshire,NH,89,Chuck Morse,"January 2, 2017","January 5, 2017",Republican,R
1489,New Hampshire,NH,90,Christopher Thomas Sununu,"January 5, 2017","January 5, 2023",Republican,R
1568,New Jersey,NJ,79,Christopher James Christie,"January 19, 2010","January 16, 2018",Republican,R
1569,New Jersey,NJ,80,Philip Dunton Murphy,"January 16, 2018","January 16, 2026",Democratic,D
1600,New Mexico,NM,31,Susana Martinez,"January 1, 2011","January 1, 2019",Republican,R
1601,New Mexico,NM,32,MIchelle Lynn Lujan Grisham,"January 1, 2019","January 1, 2023",Democratic,D
1661,New York,NY,60,Andrew Mark Cuomo,"December 31, 2010","August 23, 2021",Democratic,D
1662,New York,NY,61,Kathleen Courtney Hochul,"August 23, 2021","January 1, 2023",Democratic,D
1736,North Carolina,NC,74,Patrick Lloyd McCrory,"January 5, 2013","January 1, 2017",Republican,R
1737,North Carolina,NC,75,Roy Asberry Cooper III,"January 1, 2017","January 3, 2025",Democratic,D
1769,North Dakota,ND,32,Jack Stewart Dalrymple III,"December 7, 2010","December 15, 2016",Republican,R
1770,North Dakota,ND,33,Douglas James Burgum,"December 15, 2016","December 15, 2024",Republican,R
1839,Ohio,OH,69,John Richard Kasich Jr.,"January 10, 2011","January 14, 2019",Republican,R
1840,Ohio,OH,70,Richard Michael DeWine,"January 14, 2019","January 9, 2023",Republican,R
1867,Oklahoma,OK,27,Mary Fallin,"January 10, 2011","January 14, 2019",Republican,R
1868,Oklahoma,OK,28,John Kevin Stitt,"January 14, 2019","January 14, 2023",Republican,R
1905,Oregon,OR,37,John Albert Kitzhaber,"January 10, 2011","February 18, 2015",Democratic,D
1906,Oregon,OR,38,Katherine Brown,"February 18, 2015","January 9, 2023",Democratic,D
1954,Pennsylvania,PA,48,Thomas Wingett Corbett Jr.,"January 18, 2011","January 20, 2015",Republican,R
1955,Pennsylvania,PA,49,Thomas Westerman Wolf,"January 20, 2015","January 17, 2023",Democratic,D
2029,Rhode Island,RI,74,Lincoln Davenport Chafee,"January 4, 2011","January 6, 2015",Independent,I
2030,Rhode Island,RI,75,Gina Marie Raimondo,"January 6, 2015","March 2, 2021",Democratic,D
2031,Rhode Island,RI,76,Daniel J. McKee,"March 2, 2021","January 6, 2023",Democratic,D
2121,South Carolina,SC,90,Nimrata Nikki Haley,"January 12, 2011","January 24, 2017",Republican,R
2122,South Carolina,SC,91,Henry Dargan McMaster,"January 24, 2017","January 24, 2023",Republican,R
2154,South Dakota,SD,32,Dennis Martin Daugaard,"January 8, 2011","January 5, 2019",Republican,R
2155,South Dakota,SD,33,Kristi Lynn Noem,"January 5, 2019","January 5, 2023",Republican,R
2212,Tennessee,TN,57,William Edward Haslam,"January 15, 2011","January 19, 2019",Republican,R
2213,Tennessee,TN,58,William Byron Lee,"January 19, 2019","January 19, 2023",Republican,R
2262,Texas,TX,49,Gregory Wayne Abbott,"January 20, 2015","January 17, 2023",Republican,R
2279,Utah,UT,17,Gary Richard Herbert,"August 11, 2009","January 4, 2021",Republican,R
2280,Utah,UT,18,Spencer James Cox,"January 4, 2021","January 6, 2023",Republican,R
2361,Vermont,VT,81,Peter Elliott Shumlin,"January 6, 2011","January 5, 2017",Democratic,D
2362,Vermont,VT,82,Philip Brian Scott,"January 5, 2017","January 5, 2023",Republican,R
2445,Virginia,VA,83,Terence Richard McAuliffe,"January 11, 2014","January 13, 2018",Democratic,D
2446,Virginia,VA,84,Ralph Shearer Northam,"January 13, 2018","January 15, 2022",Democratic,D
2470,Washington,WA,23,Jay Robert Inslee,"January 16, 2013","January 13, 2025",Democratic,D
2505,West Virginia,WV,35,Earl Ray Tomblin,"November 15, 2010","January 16, 2017",Democratic,D
