State,State Abbreviation,Education Level of Mother,Year,Number of Births_by ed level,Number of Births_by state,Percentage of Births by State
Alabama,AL,9th > 12th Grade,2016,7093,59151,11.99
Alabama,AL,> 8th Grade,2016,2240,59151,3.79
Alabama,AL,Associate Degree,2016,4687,59151,7.92
Alabama,AL,Bahcelor's Degree,2016,9098,59151,15.38
Alabama,AL,Doctorate,2016,998,59151,1.69
Alabama,AL,High School Grad,2016,18061,59151,30.53
Alabama,AL,Master's Degree,2016,3884,59151,6.57
Alabama,AL,Some College Credit,2016,12969,59151,21.93
Alabama,AL,Unknown,2016,121,59151,0.2
Alabama,AL,9th > 12th Grade,2017,6628,58941,11.25
Alabama,AL,> 8th Grade,2017,1990,58941,3.38
Alabama,AL,Associate Degree,2017,4857,58941,8.24
Alabama,AL,Bahcelor's Degree,2017,8959,58941,15.2
Alabama,AL,Doctorate,2017,1139,58941,1.93
Alabama,AL,High School Grad,2017,18365,58941,31.16
Alabama,AL,Master's Degree,2017,3821,58941,6.48
Alabama,AL,Some College Credit,2017,13035,58941,22.12
Alabama,AL,Unknown,2017,147,58941,0.25
Alabama,AL,9th > 12th Grade,2018,6169,57761,10.68
Alabama,AL,> 8th Grade,2018,1856,57761,3.21
Alabama,AL,Associate Degree,2018,5034,57761,8.72
Alabama,AL,Bahcelor's Degree,2018,8833,57761,15.29
Alabama,AL,Doctorate,2018,1101,57761,1.91
Alabama,AL,High School Grad,2018,18306,57761,31.69
Alabama,AL,Master's Degree,2018,3857,57761,6.68
Alabama,AL,Some College Credit,2018,12493,57761,21.63
Alabama,AL,Unknown,2018,112,57761,0.19
Alabama,AL,9th > 12th Grade,2019,5855,58615,9.99
Alabama,AL,> 8th Grade,2019,2350,58615,4.01
Alabama,AL,Associate Degree,2019,5017,58615,8.56
Alabama,AL,Bahcelor's Degree,2019,8892,58615,15.17
Alabama,AL,Doctorate,2019,1056,58615,1.8
Alabama,AL,High School Grad,2019,18887,58615,32.22
Alabama,AL,Master's Degree,2019,3915,58615,6.68
Alabama,AL,Some College Credit,2019,12545,58615,21.4
Alabama,AL,Unknown,2019,98,58615,0.17
Alabama,AL,9th > 12th Grade,2020,5612,57647,9.74
Alabama,AL,> 8th Grade,2020,2294,57647,3.98
Alabama,AL,Associate Degree,2020,5096,57647,8.84
