,State,State Abbreviation,Education Level of Mother,Year,Number of Births,Total Births in State,Average Age of Mother (years),Political Party Governing
0,Alabama,AL,9th > 12th Grade,2016,7093,59151,24.0,R
1,Alabama,AL,> 8th Grade,2016,2240,59151,27.7,R
2,Alabama,AL,Associate Degree,2016,4687,59151,28.95,R
3,Alabama,AL,Bahcelor's Degree,2016,9098,59151,30.3,R
4,Alabama,AL,Doctorate,2016,998,59151,32.95,R
5,Alabama,AL,High School Grad,2016,18061,59151,25.3,R
6,Alabama,AL,Master's Degree,2016,3884,59151,32.1,R
7,Alabama,AL,Some College Credit,2016,12969,59151,26.7,R
8,Alabama,AL,Unknown,2016,121,59151,27.45,R
9,Alabama,AL,9th > 12th Grade,2017,6628,58941,24.15,R
10,Alabama,AL,> 8th Grade,2017,1990,58941,27.6,R
11,Alabama,AL,Associate Degree,2017,4857,58941,28.9,R
12,Alabama,AL,Bahcelor's Degree,2017,8959,58941,30.45,R
13,Alabama,AL,Doctorate,2017,1139,58941,33.05,R
14,Alabama,AL,High School Grad,2017,18365,58941,25.4,R
15,Alabama,AL,Master's Degree,2017,3821,58941,31.95,R
16,Alabama,AL,Some College Credit,2017,13035,58941,26.85,R
17,Alabama,AL,Unknown,2017,147,58941,27.35,R
18,Alabama,AL,9th > 12th Grade,2018,6169,57761,24.3,R
19,Alabama,AL,> 8th Grade,2018,1856,57761,27.9,R
20,Alabama,AL,Associate Degree,2018,5034,57761,28.95,R
21,Alabama,AL,Bahcelor's Degree,2018,8833,57761,30.45,R
22,Alabama,AL,Doctorate,2018,1101,57761,33.25,R
23,Alabama,AL,High School Grad,2018,18306,57761,25.5,R
24,Alabama,AL,Master's Degree,2018,3857,57761,31.95,R
25,Alabama,AL,Some College Credit,2018,12493,57761,27.0,R
26,Alabama,AL,Unknown,2018,112,57761,27.25,R
27,Alabama,AL,9th > 12th Grade,2019,5855,58615,24.45,R
28,Alabama,AL,> 8th Grade,2019,2350,58615,27.85,R
29,Alabama,AL,Associate Degree,2019,5017,58615,28.95,R
30,Alabama,AL,Bahcelor's Degree,2019,8892,58615,30.45,R
31,Alabama,AL,Doctorate,2019,1056,58615,33.15,R
32,Alabama,AL,High School Grad,2019,18887,58615,25.55,R
33,Alabama,AL,Master's Degree,2019,3915,58615,32.0,R
34,Alabama,AL,Some College Credit,2019,12545,58615,27.1,R
